"County Code","County","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"01003","Baldwin County, AL",".",".",".",".","0.09","0.074",".",".",".","26","11.7",".",".","."
"01027","Clay County, AL",".",".",".",".","0.09","0.073",".",".",".","36","13.4",".",".","."
"01033","Colbert County, AL",".",".",".",".","0.09","0.072","41","10","2","32","13.2",".",".","."
"01049","DeKalb County, AL",".",".",".",".",".",".",".",".",".","33","14.2",".",".","."
"01051","Elmore County, AL",".",".",".",".","0.08","0.069",".",".",".",".",".",".",".","."
"01053","Escambia County, AL",".",".",".",".",".",".",".",".",".","28","13.7","34","22","."
"01055","Etowah County, AL",".",".",".",".","0.08","0.071",".",".",".","39","15.4","70","24","."
"01069","Houston County, AL",".",".",".",".","0.08","0.068",".",".",".","32","13.2",".",".","."
"01071","Jackson County, AL",".",".","27","5","0.04","0.038","103","15","3",".",".",".",".","."
"01073","Jefferson County, AL","20.9","8.8",".",".","0.11","0.085","70","14","3","59","20.9","179","49","."
"01079","Lawrence County, AL",".",".",".",".","0.08","0.071",".",".",".",".",".",".",".","."
"01089","Madison County, AL",".",".",".",".","0.09","0.075",".",".",".","40","14.4","52","20","."
"01091","Marengo County, AL",".",".",".",".",".",".",".",".",".",".",".","45","22","."
"01097","Mobile County, AL",".",".",".",".","0.09","0.073","21","8","1","29","13.9","135","54","."
"01101","Montgomery County, AL",".",".",".",".","0.09","0.069",".",".",".","33","14.7","40","20","."
"01103","Morgan County, AL",".",".",".",".","0.1","0.079",".",".",".","36","13.6",".",".","."
"01109","Pike County, AL",".",".",".",".",".",".",".",".",".",".",".","49","23","."
"01113","Russell County, AL",".",".",".",".","0.09","0.072",".",".",".","39","15.7",".",".","."
"01117","Shelby County, AL",".",".",".",".","0.11","0.085",".",".",".","33","14.9",".",".","."
"01119","Sumter County, AL",".",".",".",".","0.07","0.063",".",".",".","27","12.3",".",".","."
"01121","Talladega County, AL",".",".",".",".","0.08","0.064",".",".",".","34","14.2","61","25","."
"01125","Tuscaloosa County, AL",".",".",".",".","0.09","0.074",".",".",".","31","13.9",".",".","."
"01127","Walker County, AL",".",".",".",".",".",".",".",".",".","33","14.2",".",".","."
"02013","Aleutians East Borough, AK",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"02020","Anchorage Borough, AK","8.1","4.8",".",".",".",".",".",".",".","18","6.9","145","30","."
"02068","Denali Borough, AK",".",".",".",".","0.06","0.051",".",".",".",".",".",".",".","."
"02090","Fairbanks North Star Borough, AK","6.6","4.5",".",".",".",".",".",".",".","41","14",".",".","."
"02110","Juneau Borough, AK",".",".",".",".",".",".",".",".",".","35","8.1","35","11","."
"02122","Kenai Peninsula Borough, AK",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"02170","Matanuska-Susitna Borough, AK",".",".",".",".",".",".",".",".",".","25","6.5","111","24","."
"02232","Skagway-Hoonah-Angoon Borough, AK",".",".",".",".",".",".",".",".",".","9","2.8",".",".","."
"02280","Wrangell Petersburg Borough, AK",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"04001","Apache County, AZ",".",".",".",".",".",".",".",".",".",".",".","53","26","."
"04003","Cochise County, AZ",".",".",".",".","0.08","0.072",".",".",".","16","7.3","82","35","."
"04005","Coconino County, AZ",".",".",".",".","0.09","0.079",".",".",".","13","6","35","18","."
"04007","Gila County, AZ",".",".","8","2","0.11","0.084","295","43","8","23","8.4","62","49","."
"04009","Graham County, AZ",".",".",".",".",".",".",".",".",".",".",".","46","21","."
"04012","La Paz County, AZ",".",".","9","2","0.08","0.071",".",".",".",".",".",".",".","."
"04013","Maricopa County, AZ","7","4.8","82","32","0.12","0.088","15","7","3","42","12.9","200","74","."
"04015","Mohave County, AZ",".",".",".",".",".",".",".",".",".","11","5.3","64","34","."
"04017","Navajo County, AZ",".",".",".",".","0.09","0.07",".",".",".",".",".","24","13","."
"04019","Pima County, AZ","3.6","2.4","47","15","0.09","0.079","15","3","1","12","6.3","88","39","."
"04021","Pinal County, AZ",".",".","12","2","0.11","0.084","7","3","2","17","7.3","171","58","."
"04023","Santa Cruz County, AZ",".",".",".",".",".",".",".",".",".","33","13.1","327","72","."
"04025","Yavapai County, AZ",".",".",".",".","0.08","0.073",".",".",".",".",".","31","15","."
"04027","Yuma County, AZ",".",".","45","10","0.09","0.078",".",".",".",".",".","116","47","."
"05001","Arkansas County, AR",".",".",".",".",".",".",".",".",".","36","14",".",".","."
"05003","Ashley County, AR",".",".",".",".",".",".",".",".",".","37","14.3",".",".","."
"05035","Crittenden County, AR",".",".","56","13","0.13","0.096",".",".",".","40","14.2",".",".","."
"05045","Faulkner County, AR",".",".",".",".",".",".",".",".",".","37","14.5",".",".","."
"05051","Garland County, AR",".",".",".",".",".",".",".",".",".","35","14.2",".",".","."
"05093","Mississippi County, AR",".",".",".",".",".",".",".",".",".","38","14.8",".",".","."
"05101","Newton County, AR",".",".",".",".","0.08","0.073",".",".",".",".",".",".",".","."
"05107","Phillips County, AR",".",".",".",".",".",".",".",".",".","35","13.7",".",".","."
"05113","Polk County, AR",".",".",".",".","0.08","0.075",".",".",".","30","12.6",".",".","."
"05115","Pope County, AR",".",".",".",".",".",".",".",".",".","35","14.4",".",".","."
"05119","Pulaski County, AR","2.6","2.1","54","12","0.1","0.086","8","5","2","40","16","48","25","."
"05131","Sebastian County, AR",".",".",".",".",".",".",".",".",".","36","14.1",".",".","."
"05139","Union County, AR",".",".",".",".",".",".","33","7","2","38","14.8",".",".","."
"05145","White County, AR",".",".",".",".",".",".",".",".",".","39","14.7",".",".","."
