"County Code","County","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"53077","Yakima County, WA",".",".",".",".",".",".",".",".",".","41","9.6","84","20","."
"54003","Berkeley County, WV",".",".",".",".","0.07","0.063",".",".",".","22","9.8",".",".","."
"54009","Brooke County, WV","0.9","0.7",".",".",".",".","62","19","4","27","11","36","17","."
"54011","Cabell County, WV",".",".",".",".","0.07","0.059","19","17","2","20","9.4",".",".","0.01"
"54021","Gilmer County, WV",".",".",".",".","0.07","0.058",".",".",".",".",".",".",".","."
"54025","Greenbrier County, WV",".",".",".",".","0.07","0.06",".",".",".",".",".",".",".","."
"54029","Hancock County, WV","1.9","1.3",".",".","0.08","0.069","40","12","5","27","10.1","46","14","."
"54033","Harrison County, WV",".",".",".",".",".",".",".",".",".","19","8.8",".",".","."
"54039","Kanawha County, WV",".",".",".",".","0.08","0.067","42","18","4","20","9.8","30","13","."
"54049","Marion County, WV",".",".",".",".",".",".",".",".",".","18","9.3",".",".","."
"54051","Marshall County, WV",".",".",".",".",".",".","43","21","5","23","10.4",".",".","."
"54061","Monongalia County, WV",".",".",".",".","0.08","0.064","14","6","2","19","8.9",".",".","."
"54069","Ohio County, WV",".",".",".",".","0.08","0.063",".",".",".","25","10.1",".",".","."
"54081","Raleigh County, WV",".",".",".",".",".",".",".",".",".","18","7.5",".",".","."
"54093","Tucker County, WV",".",".",".",".","0.07","0.061",".",".",".",".",".",".",".","."
"54107","Wood County, WV",".",".",".",".","0.08","0.064","25","10","4","21","9.4",".",".","."
"55003","Ashland County, WI",".",".",".",".","0.06","0.058",".",".",".","16","4.8",".",".","."
"55005","Barron County, WI",".",".",".",".",".",".",".",".",".",".",".","67","22","."
"55009","Brown County, WI",".",".",".",".","0.07","0.065","76","13","2","22","7.7",".",".","."
"55017","Chippewa County, WI",".",".",".",".",".",".",".",".",".",".",".","52","19","."
"55021","Columbia County, WI",".",".",".",".","0.07","0.066",".",".",".",".",".",".",".","."
"55025","Dane County, WI",".",".",".",".","0.07","0.067","8","4","1","23","9.3","29","16","."
"55027","Dodge County, WI","0.9","0.3",".",".","0.08","0.067","9","2","0","18","7.9","35","14","."
"55029","Door County, WI",".",".",".",".","0.08","0.068",".",".",".",".",".",".",".","."
"55035","Eau Claire County, WI",".",".",".",".","0.07","0.06",".",".",".","20","7.3",".",".","."
"55039","Fond du Lac County, WI",".",".",".",".","0.08","0.065",".",".",".",".",".",".",".","."
"55041","Forest County, WI",".",".","8","1","0.07","0.06","4","4","1","17","4.9",".",".","."
"55043","Grant County, WI",".",".",".",".",".",".",".",".",".","19","8.9",".",".","."
"55053","Jackson County, WI",".",".",".",".",".",".",".",".",".",".",".",".","9","."
"55055","Jefferson County, WI",".",".",".",".","0.08","0.069",".",".",".",".",".",".",".","."
"55059","Kenosha County, WI",".",".",".",".","0.09","0.075",".",".",".","22","8.7",".",".","."
"55061","Kewaunee County, WI",".",".",".",".","0.08","0.068",".",".",".",".",".",".",".","."
"55063","La Crosse County, WI",".",".",".",".","0.07","0.061",".",".",".","18","8.3",".",".","."
"55071","Manitowoc County, WI",".",".","9","2","0.09","0.073",".",".",".",".",".",".",".","."
"55073","Marathon County, WI",".",".",".",".","0.07","0.063",".",".",".",".",".",".",".","."
"55079","Milwaukee County, WI",".",".","50","10","0.09","0.07","23","5","1","25","9.9","38","17","."
"55081","Monroe County, WI",".",".",".",".",".",".",".",".",".",".",".","35","14","."
"55085","Oneida County, WI",".",".",".",".",".",".","153","59","4",".",".",".",".","."
